gene,connectivity_raw,connectivity_variance_normalized
RPS20,0.22063223818060007,0.16101808065990458
BRI3,0.15018602474298223,0.16077847630393335
RPS11P5,0.13090452363424607,0.16075774733506443
EPB41L1,0.10926774851243404,0.16072027726614257
GPX4,0.19940425124320751,0.1606756023287692
PERP,0.17606924833852688,0.16065296638101076
RPS15AP11,0.09048792632723406,0.16058869513522842
RP11-367G18.2,0.11542195536545716,0.16048743713072253
PINK1,0.08638424380225927,0.16040738009012612
MYOF,0.1477642006650415,0.1603473738940049
RPL22,0.19135798877554633,0.16032090517714429
HMGN3,0.11243891355377084,0.1602566645795354
KLF5,0.1202441083987824,0.16015466090727326
RP11-332E4.1,0.08953929399244644,0.16002182085079697
JAK1,0.1383432156167656,0.1600143596236192
MARCH6,0.1416491943301999,0.1600024633034861
ERBB2IP,0.15083212871927537,0.15997163504666004
KDELR1,0.15853167013762193,0.15995658214889685
COX5B,0.1946151311668225,0.15986769723900315
C9orf3,0.08724722876020388,0.15965091160047143
KTN1,0.2205614636821215,0.15951146903611785
SEPT2,0.1798994783274095,0.1594581513543424
RPS19P1,0.12960714432027856,0.15944814234896026
ZNF106,0.14329153070394723,0.15937477842550712
CLDN7,0.1616759113435596,0.15921660660329845
EIF2S3,0.12549244951302305,0.15903286185092783
RTN3,0.1675218141743474,0.15887640752176863
YWHAZ,0.19303592470209263,0.15880696578831352
EIF3H,0.17317936865753417,0.15878673948798352
PDIA3,0.19354282922277963,0.1587490819313549
TRIM44,0.13407023907477642,0.15869479213368318
EXOC3,0.12526238879364904,0.15869101706732705
RPL41,0.19604455164546952,0.15863174787595272
NAMPT,0.14889022298689036,0.15825223710506972
IGFBP6,0.1662893003545433,0.1581936992735258
KIF5B,0.17263837342032115,0.1581024285595811
TOMM20,0.15886884018079833,0.15809373376937869
SDHA,0.12438427212690513,0.15805585985277723
TES,0.17759599546280788,0.1580481118364937
MPP5,0.12113868214701569,0.15803217824059712
LUZP1,0.11220653914295031,0.15802959617123483
YPEL3,0.11254480685772822,0.15793417812021796
H3F3B,0.20194827639108445,0.15791088160327468
REXO2,0.15683176698204937,0.15790820377546455
FZD2,0.08415265937977141,0.1578224586952227
TCEB2,0.1962355930816552,0.15773639229792952
EIF3A,0.1877966820585898,0.1576449609710439
GNAS,0.20280527100118953,0.15760700144304216
IGFBP5,0.09134654964641355,0.15755987882533096
FHL2,0.128593078991088,0.15746214452505436
SLC38A1,0.14222462547222503,0.15733379016191598
LOXL2,0.060698912114938205,0.15733301035811673
MTRNR2L3,0.06792851305996618,0.15726888293741026
RPLP0,0.21794220195344968,0.15704712948371244
TGOLN2,0.12302017216979039,0.15696396573841126
RP11-262D11.2,0.0896623121190849,0.15691646990283342
PFKP,0.13426348205369643,0.15683525288509195
