gene,connectivity
MTPN,0.13887369865709873
PTBP1,0.1388459045472881
SPATS2L,0.13869183301358382
VDAC1,0.13858538448689017
SLC25A6,0.13840651891006248
HNRNPH3,0.138287438412737
TACC3,0.1382458432242629
APP,0.13822064390197084
NRD1,0.13814574115378447
ITPRIPL2,0.13810251346256844
TXNDC17,0.13808535188335208
NCOR1,0.13782895934330533
RPN2,0.13778790953125294
CXXC5,0.1377236175646513
NDUFA2,0.13770891978252833
CMTM6,0.13769420671430596
CNBP,0.13768126101902275
STAG2,0.13766392003833477
CLIP1,0.13766247627688136
PSMB3,0.13764941507987147
AURKAIP1,0.13757432163531566
NME1,0.1375262709923296
RPS27L,0.1374285282082172
ADK,0.13714750185051716
STAU1,0.13693862160722226
GMNN,0.13683339035648784
XRN2,0.13681653678862923
CUL4B,0.13648301115820474
RPS10,0.13646388374000565
RAB10,0.13630110514682625
CKAP4,0.13625459588765287
NFATC2IP,0.13621498835808074
ZWINT,0.13605527060117792
MBNL1,0.1360199368583516
SULF2,0.13593290534495983
STRAP,0.13586112763669358
LMNB1,0.1357872853629205
RPS11P5,0.13555954511193172
PDIA4,0.13555805663686477
DYNC1LI2,0.13547656805153852
THRAP3,0.13544803075770956
UBE2A,0.1352663551622471
TMA7,0.13523226785951534
SPECC1,0.1351920528366483
TNNT1,0.1351246910383716
KNOP1,0.1350245265066016
DLG1,0.13500049520843618
CYR61,0.13475352071889155
COX16,0.1347412235229539
TMEM14C,0.13467152786449377
RP11-17A4.1,0.1346643541557784
PSIP1,0.1346137328548224
MCTS1,0.13456522853175124
SMIM22,0.13452032518419257
TGM2,0.13448745304025977
HNRNPUL2,0.13447475265192385
IQGAP1,0.1343762907626919
EMC4,0.13426242245045913
FAM134B,0.13404760520365835
SEC61B,0.1340019385641242
C9orf78,0.13384520503066172
C19orf33,0.1338325018667186
GNB1,0.13341186994358767
IDI1,0.13340905667323794
TIMP2,0.1333874001298771
CACYBP,0.13337011785226804
SIVA1,0.13333453474038318
ACADVL,0.13324362657493186
HAT1,0.13320451668944186
HSPB11,0.1331750477235549
EIF4B,0.13316846274746105
ATP5A1,0.13315569671702823
APRT,0.13303498691802604
TMEM106B,0.13291078283217875
KDM1A,0.13268140292670108
COX5A,0.13255791421815055
CSNK1E,0.13254435317885868
SSR3,0.13253679871559143
MRPL20,0.13248594955146759
CLPTM1L,0.13240823040277597
EZH2,0.13238579403535594
MCFD2,0.13229295749148895
LCP1,0.13219012558095558
EIF3J,0.13217046032301996
HIST1H2BD,0.13205411546008267
CAPN1,0.13190202446392327
CLINT1,0.13189343653269806
S100A14,0.13183145078163744
SUPT16H,0.131563257859079
TRIP13,0.13154665055038328
LMAN2,0.13153490971173662
ECHS1,0.13144353421102326
LARP7,0.13138287963711592
ME1,0.13137458889845843
BRD9,0.1312883873523943
CHMP1B,0.13126805035700043
IARS2,0.13123145037002096
RBM17,0.13119363529515218
PSMD11,0.13118574568238248
AC004453.8,0.13111873348905148
PSMB5,0.13104251717970047
TFRC,0.1310218292827269
RFC1,0.13099562049033608
MT-RNR2,0.13084868295593055
MARK3,0.13079257273981962
CTSH,0.13064716406860455
SERP1,0.13057131746202646
DNAJC8,0.13047051328449003
ANKIB1,0.1304643725676248
ECT2,0.1304301895064452
ATP13A3,0.1303929672161792
ANP32A,0.1303255007754857
KIAA0101,0.13011247956939168
MRPL37,0.1299987062052105
CALB2,0.12998442111738193
CHCHD1,0.12987488796928154
POLE3,0.12978856896640978
PSMC5,0.12974762754485689
LITAF,0.12974058272966635
EIF4A1,0.12965543419223996
SEC11A,0.1296165592507551
STT3B,0.12957866754279015
MRPL13,0.129396888804144
TNRC6A,0.1293593129278607
PPIG,0.1293237351645911
CELF1,0.12924012797045756
CSE1L,0.1292024443216019
FANCI,0.1291608676304224
ERP29,0.12914168228915077
MRPL14,0.12906501951224134
MCM3,0.12891155432714727
RP11-1033A18.1,0.1287922517609872
TCEAL4,0.1287533363705991
SKAP2,0.12862101379581894
GADD45GIP1,0.12860821609915235
C7orf50,0.1285972405176921
AFG3L2,0.1285452084586703
HSBP1,0.12850281823094728
PLK1,0.12849408051823372
KIF2C,0.128476469635072
GTPBP4,0.128438248977136
YWHAQ,0.12841260641874058
NAA50,0.12840554577043314
DIAPH1,0.12826789543792394
POLR2F,0.1282291388446826
COX7A2L,0.1281509300545719
MRPS15,0.12799560364252202
EIF4G2,0.1279432509806106
CAMK2N1,0.12784708794244368
FHL2,0.12773269392615835
AURKB,0.12771525494830288
PSME1,0.12761958029544085
RPS19P1,0.12752135108110452
CDCA7L,0.12743608530972947
